"","Study","Site","Age","Method","Vol","Type","MU","VU","SSU","ML","VL","SSL","Vtype","Tax","Rar","Region","SDU","SDL","Rare","yi","vi"
"18","Cannon et al 1998","Cannon et al 1998",1,"Conventional",-9999,"Species richness",111.8695,-9999,12,88.0168,-9999,12,"SD","Plant","Rarefied - Area","Asia & Oceania",17.574576656881,14.1063468225869,"R",-0.239805308027061,0.00419717965360394
"19","Webb et al 1998","Webb et al 1998",1,"Conventional",-9999,"Species richness",49.0455,-9999,4,49.1647,-9999,4,"SD","Plant","Rarefied - Individuals","Americas",7.70499465381591,7.8795674192704,"R",0.00242744762829506,0.0125915389608118
"20","Webb et al 1998","Webb et al 1998",0,"Conventional",-9999,"Species richness",47.0168,-9999,4,42.0048,-9999,4,"SD","Plant","Rarefied - Individuals","Americas",7.386288092476,6.73205884573625,"R",-0.112721087182139,0.0125915389608118
"21","Foody et al 2003","Foody et al 2003",10,"Conventional",-9999,"Species richness",21.55415,-9999,10,17.9,-9999,30,"SD","Plant","Rarefied - Individuals","Asia & Oceania",3.38613349884385,2.86881150103509,"R",-0.185767660568817,0.00332420972340253
"22","Woodcock et al 2011","Woodcock et al 2011",3,"Conventional",160,"Species richness",100,2.4,6,87.7,3.1,6,"SE","Invertebrates","Not rarefied","Asia & Oceania",5.87877538267963,7.59341820262785,"NR",-0.131248286609954,0.00182546530425975
"23","Baraloto et al 2012","Baraloto et al 2012",20,"Conventional",55,"Species richness",122,12,6,123,12,6,"SD","Plant","Rarefied - Area","Americas",12,12,"R",0.00816331063916084,0.00319882709317979
"24","Lammertink 2004","Lammertink 2004",11,"Conventional",-9999,"Species richness",12.33333333,1.527525232,3,12.4,0.894427191,5,"SD","Birds","Not rarefied","Asia & Oceania",1.527525232,0.894427191,"NR",0.00539084890514676,0.00615380406085853
"25","Wells et al 2007","Wells et al 2007",20,"Conventional",-9999,"Species richness",17,3,3,14,1,3,"SD","Mammals","Not rarefied","Asia & Oceania",3,1,"NR",-0.194156014440958,0.0120813031094791
"26","Costa (2002)","Costa 2002a",10,"Conventional",-9999,"Species richness",18.05,2.101903899,5,17.99,2.093036072,8,"SD","Plant","Not rarefied","Americas",2.101903899,2.093036072,"NR",-0.00332963681644836,0.00440407543562313
"27","Costa (2002)","Costa 2002b",4,"Conventional",-9999,"Species richness",18.05,2.101903899,5,18.62,2.095781477,3,"SD","Plant","Not rarefied","Americas",2.101903899,2.095781477,"NR",0.0310905870700312,0.0069349782352263
"28","Davis et al 2001","106.2",12.7304347826087,"Conventional",NA,"Species richness",44.2,3.9,5,45.67,7.77,3,"SD","Invertebrates","Not rarefied","Asia & Oceania",3.9,7.77,"NR",0.032716838113255,0.0112055702868423
"29","Eggleton et al 1999","Eggleton et al 1999a",12.7304347826087,"Conventional",NA,"Species richness",29,2,3,28,2.8,3,"SD","Invertebrates","Not rarefied","Asia & Oceania",2,2.8,"NR",-0.0350913198112701,0.00491874752279033
"30","Eggleton et al 1999","Eggleton et al 1999b",12.7304347826087,"Conventional",NA,"Species richness",29,2,3,26,7.5,3,"SD","Invertebrates","Not rarefied","Asia & Oceania",2,7.5,"NR",-0.109199291964992,0.0293221005799895
"31","Eltz 2004","Eltz 2004",12.7304347826087,"Conventional",NA,"Species richness",12.5,1.378404876,6,8.17,2.191785018,12,"SD","Invertebrates","Not rarefied","Asia & Oceania",1.378404876,2.191785018,"NR",-0.425259735436344,0.00802417070417679
